ActualRiesID,BlockID,BottleID,BottleSamp,CarboyID,Date,HeadATCorr,HeadATRaw,HeadATRecal,HeadCalcpH,HeadDICCorr,HeadDICFromAT,HeadDICRaw,HeadOmegaArg,HeadOmegaCalcite,HeadpCO2,HeadpH,HeadSalinity,mV1,mV2,mV3,HeadNotes,pHBatch,Salinity1,Salinity2,Salinity3,SalinityBatch,Temperature,TimeRelative,Treatment
L18_L_20180717_C1_18Jul18,B1,20180717_B1_C1before,T,1,20180717,1740.96,1659.46,1745.86,7.845,1334.88,1578.27,1330.71,0.99,1.61,478,7.768500949,20.04704192,-81,-82,-80,,8_B1,20.1,20.1,20.1,8_B1,20.8,before,Control
L18_L_20180717_C2_18Jul18,B1,20180717_B1_C2before,T,2,20180717,1636.61,1581.35,1641.21,6.936,1459.76,1599.89,1455.2,0.13,0.21,4053,6.897533207,20.04704192,-29,-29,-32,,8_B1,20.1,20.1,20.1,8_B1,21.2,before,Exposed
L18_L_20180717_C3_18Jul18,B1,20180717_B1_C3before,T,3,20180717,1364.56,1369.28,1368.4,7.828,1328.85,1283.72,1324.7,0.95,1.54,495.9,7.75142315,20.04704192,-80,-80,-80,,8_B1,20.1,20.1,20.1,8_B1,20.9,before,Control
L18_L_20180717_C4_18Jul18,B1,20180717_B1_C4before,T,4,20180717,1319.52,1323.58,1323.23,7.81,1283.03,1334.06,1279.02,0.88,1.43,499.9,7.734345351,20.04704192,-80,-79,-78,,8_B1,20.1,20.1,20.1,8_B1,21.2,before,Control
L18_L_20180717_C5_18Jul18,B1,20180717_B1_C5before,T,5,20180717,1319.36,1323.39,1323.07,6.936,1431.26,1383.56,1426.79,0.12,0.2,3974.2,6.914611006,20.04704192,-33,-30,-30,,8_B1,20.1,20.1,20.1,8_B1,21.8,before,Exposed
,B3,F,,1,20180810,,,,,,,,,,,7.790076336,19.9872,-84,-84,-84,,6_B3,20,20,20,6_B3,21.4,after,Control
,B3,F,,2,20180810,,,,,,,,,,,7.06870229,19.9872,-42,-42,-42,,6_B3,20,20,20,6_B3,21.2,after,Exposed
,B3,F,,1,20180811,,,,,,,,,,,7.757170172,19.9872,-82,-82,-82,,7_B3,20,20,20,7_B3,20,before,Control
,B3,F,,2,20180811,,,,,,,,,,,7.068833652,19.9872,-42,-42,-42,,7_B3,20,20,20,7_B3,20,before,Exposed
,B3,F,,1,20180806,,,,,,,,,,,7.791586998,19.96713253,-82,-82,-82,,8_B3,19.9,19.9,19.9,8_B3,21.5,before,Control
,B3,F,,2,20180806,,,,,,,,,,,7.108986616,19.96713253,-42,-43,-42,,8_B3,19.9,19.9,19.9,8_B3,21.5,before,Exposed
,B2,F,,1,20180724,,,,,,,,,,,7.775862069,20.02685714,-47,-79,-79,,9_B2,20.2,20.2,20.2,9_B2,20.7,before,Control
,B2,F,,2,20180724,,,,,,,,,,,7.212643678,19.92771429,-47,-46,-46,,9_B2,20.1,20.1,20.1,9_B2,20.9,before,Exposed
