DateCount,Filter100um1,Filter100um2,Filter10um1,Filter10um2,Filter20um1,Filter20um2,Filter20um3,Filter20umPercDiff,FilterRinse,HClAdded,JarID,LarvaeCountsNotes,NumPhotos,NumSWR,Objective,PercentAbnormal,PersonFilterCount,PersonPhotos,PhotoNotes,PresenceJunk,PresenceZopl,SWRAbnormal,SWRCountTotal,SWRD,SWRFacingAway,SWRFacingAwayAbnormal,SWRRound,SWRStored,SWRTotal,SWRType,SWRUnsure,Total1mL,TotalLarvae,OrigTotalLarvae
20190307,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J009_B3,NA,2,2,20X,NA,NA,Ffion,"non-larvae/extremely abnormal: 1, 2; no larvae to trace on either SWR",NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180827,4,5,1,1,295,309,335,-0.047457627,DI,TRUE,J010_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,4,FALSE,1434,0,0,0,DI,1438,plastic,0,1438,1745.5,1744.5
20190305,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J010_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190307,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J010_B3,NA,37,2,20X,NA,NA,Ffion,"non-larvae: 8, 12, 17, 19, 21, 30, 31",NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180827,2,1,2,3,205,201,NA,0.019512195,DI,TRUE,J011_B1,"filter used for SEM, not available for recount",30,1,20X,NA,Camila,Camila,NA,NA,NA,3,FALSE,650,0,0,0,DI,653,plastic,0,653,860,857.5
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J011_B2,NA,7,1,20X,0.941176471,NA,Ffion,[scroll right to confirm guesses],TRUE,TRUE,16,NA,1,NA,NA,NA,NA,17,glass,NA,NA,NA,NA
20190307,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J011_B3,NA,9,2,20X,NA,NA,Ffion,very few larvae; most round or elongated D-shape,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180827,1,1,0,0,396,406,NA,-0.025252525,DI,TRUE,J012_B1,"filter used for SEM, not available for recount",30,1,20X,NA,Camila,Camila,NA,NA,NA,6,FALSE,110,0,0,0,DI,116,plastic,0,116,518,518
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J012_B2,NA,47,1,20X,0.28358209,NA,Ffion,NA,TRUE,FALSE,19,NA,48,NA,NA,NA,NA,67,glass,NA,NA,NA,NA
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J012_B3,NA,10,2,20X,NA,NA,Ffion,very few correctly oriented D-stage,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180828,0,0,0,0,227,225,212,0.008810573,DI,TRUE,J013_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,3,FALSE,582,0,0,0,DI,585,plastic,0,585,811,811
20190705,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J013_B2,NA,30,2,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J013_B3,NA,7,2,20X,NA,NA,Ffion,very few correctly oriented D-stage; no larvae on second SWR,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180720,0,0,1,1,90,89,NA,0.011111111,DI,TRUE,J014_B1,NA,25,2,10X,NA,Katie,Katie,NA,NA,NA,8,FALSE,639,0,0,0,DI,647,plastic,0,647,737.5,736.5
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J014_B3,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180829,1,1,0,0,396,395,NA,0.002525253,DI,TRUE,J015_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,7,FALSE,320,0,0,0,DI,327,plastic,0,327,723.5,723.5
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J015_B3,NA,2,2,20X,NA,NA,Ffion,non-larvae/extremely abnormal: 1,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180830,5,5,0,0,482,491,NA,-0.018672199,DI,TRUE,J016_B1,NA,27,1,20X,NA,Camila,Camila,NA,NA,NA,5,FALSE,361,0,0,0,DI,366,plastic,0,366,857.5,857.5
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J016_B2,NA,30,1,20X,0.006976744,NA,Ffion,NA,FALSE,FALSE,3,NA,427,NA,NA,NA,NA,430,glass,NA,NA,NA,NA
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J016_B3,NA,31,1,20X,NA,NA,Ffion,abnormal larvae photos: 18?,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180830,4,4,0,0,460,441,369,0.041304348,DI,TRUE,J017_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,4,FALSE,155,0,0,0,DI,159,plastic,0,159,613.5,613.5
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J017_B2,NA,8,1,20X,0.684210526,NA,Ffion,NA,TRUE,TRUE,13,NA,6,NA,NA,NA,NA,19,glass,NA,NA,NA,NA
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J017_B3,NA,7,2,20X,NA,NA,Ffion,non-larvae: 5-6; several round larvae; 5-6 at 10x obj,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180830,2,2,0,0,210,207,191,0.014285714,DI,TRUE,J018_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,11,FALSE,263,0,0,0,DI,274,plastic,0,274,484.5,484.5
20190705,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J018_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20190308,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J018_B3,NA,31,1,20X,NA,NA,Ffion,non-larvae: 21; copepod photo at 10x obj,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180831,3,3,0,0,476,487,526,-0.023109244,DI,TRUE,J019_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,2,FALSE,233,0,0,0,DI,235,plastic,0,235,719.5,719.5
20190705,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J019_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20190328,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J019_B3,NA,31,1,20X,0.348484849,NA,Ffion,NA,TRUE,TRUE,23,NA,43,NA,NA,NA,NA,66,glass,NA,66,NA,NA
20180904,2,2,0,0,423,412,NA,0.026004728,DI,TRUE,J020_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,0,FALSE,74,0,0,0,DI,74,plastic,0,74,493.5,493.5
20190329,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J020_B3,NA,30,1,20X,0.853211009,NA,Ffion,NA,TRUE,FALSE,93,NA,16,NA,NA,NA,NA,109,glass,NA,109,NA,NA
20180904,2,2,0,0,411,419,NA,-0.01946472,DI,TRUE,J021_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,17,FALSE,249,0,0,0,DI,266,plastic,0,266,683,683
20190705,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J021_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20190329,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J021_B3,NA,30,1,20X,0.941176471,NA,Ffion,NA,TRUE,TRUE,48,NA,3,NA,NA,NA,NA,51,glass,NA,NA,NA,NA
20180905,5,5,0,0,265,266,NA,-0.003773585,DI,TRUE,J022_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,22,FALSE,123,0,0,0,DI,145,plastic,0,145,415.5,415.5
20180905,1,1,0,0,252,255,NA,-0.011904762,DI,TRUE,J023_B1,Lots of large larvae like photo #30,30,1,20X,NA,Camila,Camila,NA,NA,NA,3,FALSE,438,0,0,0,DI,441,plastic,0,441,695.5,695.5
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J023_B2,NA,31,1,20X,0.009975062,NA,Ffion,non-larvae: 3 (10x obj),FALSE,TRUE*,8,NA,794,NA,NA,NA,NA,802,glass,NA,NA,NA,NA
20180906,3,3,0,0,228,232,NA,-0.01754386,DI,TRUE,J024_B1,NA,31,1,20X,NA,Camila,Camila,NA,NA,NA,7,FALSE,114,0,0,0,DI,121,plastic,0,121,354,354
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J024_B2,NA,5,1,20X,1,NA,Ffion,NA,TRUE,TRUE,2,NA,0,NA,NA,NA,NA,2,glass,NA,NA,NA,NA
20190401,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J024_B3,NA,15,1,20X,1,NA,Ffion,non-larvae: 4,TRUE,TRUE,14,NA,0,NA,NA,NA,NA,14,glass,NA,NA,NA,NA
20180907,4,4,0,0,162,163,NA,-0.00617284,DI,TRUE,J025_B1,"Accidentally forgot to count the larvae on the slide before putting it back into the falcon tube, so I just counted them on the filter, so there is no abnormal data",34,1,20X,NA,Camila,Camila,3 abnormal larvae photographed,NA,NA,3,FALSE,369,0,0,0,DI,372,plastic,0,372,538.5,538.5
20190401,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J025_B3,NA,30,1,20X,0.850574713,NA,Ffion,NA,TRUE,FALSE,74,NA,13,NA,NA,NA,NA,87,glass,NA,NA,NA,NA
20180910,8,8,0,0,88,84,81,0.045454545,DI,TRUE,J026_B1,NA,32,1,20X,NA,Camila,Camila,2 abnormal larvae photographed,NA,NA,16,FALSE,1255,0,0,0,DI,1271,plastic,0,1271,1365,1365
20190705,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J026_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180910,9,10,0,0,240,249,227,-0.0375,DI,TRUE,J027_B1,NA,31,1,20X,NA,Camila,Camila,1-2 abnormal larvae photographed,NA,NA,12,FALSE,135,0,0,0,DI,147,plastic,0,147,401,401
20190705,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J027_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180910,7,9,0,0,231,237,NA,-0.025974026,DI,TRUE,J028_B1,NA,31,1,20X,NA,Camila,Camila,1 abnormal larva photographed,NA,NA,3,FALSE,195,0,0,0,DI,198,plastic,0,198,440,440
20180910,5,5,0,0,183,192,NA,-0.049180328,DI,TRUE,J029_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,1,FALSE,262,0,0,0,DI,263,plastic,0,263,455.5,455.5
20190705,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J029_B2,NA,31,1,20X,NA,NA,Ffion,last photo copepod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180911,3,3,0,0,249,249,NA,0,DI,TRUE,J030_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,3,FALSE,169,0,0,0,DI,172,plastic,0,172,424,424
20190715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J031_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20190401,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J031_B3,NA,30,1,20X,0.218461539,NA,Ffion,NA,TRUE,FALSE,71,NA,254,NA,NA,NA,NA,325,glass,NA,NA,NA,NA
20180911,3,4,0,0,72,71,66,0.013888889,DI,TRUE,J032_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,1,FALSE,370,0,0,0,DI,371,plastic,0,371,446,446
20190715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J032_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180912,4,4,0,0,345,330,NA,0.043478261,DI,TRUE,J033_B1,NA,31,1,20X,NA,Camila,Camila,NA,NA,NA,7,FALSE,81,0,0,0,DI,88,plastic,0,88,429.5,429.5
20190401,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J033_B3,NA,17,2,20X,0.733333333,NA,Ffion,"tiny larvae? 6, 8",TRUE,FALSE,11,NA,4,NA,NA,NA,NA,15,glass,NA,NA,NA,NA
20180913,4,4,0,0,472,454,NA,0.038135593,DI,TRUE,J034_B1,NA,32,2,20X,NA,Camila,Camila,NA,NA,NA,1,FALSE,66,0,0,0,DI,67,plastic,0,67,534,534
20190816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J034_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180913,2,2,1,1,362,373,NA,-0.03038674,DI,TRUE,J035_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,0,FALSE,251,0,0,0,DI,251,plastic,0,251,621.5,620.5
20180913,7,7,1,1,285,278,NA,0.024561404,DI,TRUE,J036_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,5,FALSE,185,0,0,0,DI,190,plastic,0,190,479.5,478.5
20180914,3,3,0,0,392,400,438,-0.020408163,DI,TRUE,J037_B1,"Had to count the filter 4 times, the 4th count was 372",30,1,20X,NA,Camila,Camila,NA,NA,NA,4,FALSE,272,0,0,0,DI,276,plastic,0,276,675,675
20190401,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J037_B3,NA,16,1,20X,0.866666667,NA,Ffion,NA,TRUE,FALSE,13,NA,2,NA,NA,NA,NA,15,glass,NA,15,NA,NA
20180914,18,19,0,0,376,381,NA,-0.013297872,DI,TRUE,J038_B1,NA,30,1,20X,NA,Camila,Camila,4 abnormal larvae photographed,NA,NA,22,FALSE,272,0,0,0,DI,294,plastic,0,294,691,691
20180914,1,1,0,0,273,267,NA,0.021978022,DI,TRUE,J039_B1,Replaced the 100 micron filter ,30,1,20X,NA,Camila,Camila,NA,NA,NA,2,FALSE,182,0,0,0,DI,184,plastic,0,184,455,455
20180914,0,0,0,0,260,260,NA,0,DI,TRUE,J040_B1,NA,30,1,20X,NA,Camila,Camila,1 abnormal larva photographed,NA,NA,3,FALSE,120,0,0,0,DI,123,plastic,0,123,383,383
20190816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J040_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180917,5,5,0,0,332,330,NA,0.006024096,DI,TRUE,J041_B1,upper right had the most larvae,32,1,20X,NA,Camila,Camila,2 abnormal larvae photographed,NA,NA,8,FALSE,77,0,0,1,DI,86,plastic,0,86,422,422
20180917,11,12,0,0,861,846,NA,0.017421603,DI,TRUE,J042_B1,"had to count four times,  lower half of the filter had the most larvae",30,1,20X,NA,Camila,Camila,NA,NA,NA,27,FALSE,218,0,0,0,DI,245,plastic,0,245,1110,1110
20190816,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,J042_B2,NA,18,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20180917,6,6,0,0,485,482,NA,0.006185567,DI,TRUE,J043_B1,upper half had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,6,FALSE,334,0,0,0,DI,340,plastic,0,340,829.5,829.5
20180917,3,3,0,0,542,534,NA,0.014760148,DI,TRUE,J044_B1,left side had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,1,FALSE,108,0,0,0,DI,109,plastic,0,109,650,650
20180918,6,6,0,0,98,97,NA,0.010204082,DI,TRUE,J045_B1,upper half had the most larvae,31,1,20X,NA,Camila,Camila,1 abnormal larva photographed,NA,NA,2,FALSE,191,0,0,0,DI,193,plastic,0,193,296.5,296.5
20190816,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,J045_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20180918,4,4,0,0,148,141,NA,0.047297297,DI,TRUE,J046_B1,Lower half had the most larvae,31,1,20X,NA,Camila,Camila,3? abnormal larvae photographed,NA,NA,9,FALSE,44,0,0,0,DI,53,plastic,0,53,201.5,201.5
20190816,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,J047_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20190816,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,J048_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20180918,6,6,0,0,328,331,382,-0.009146341,DI,TRUE,J049_B1,lower left had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,6,FALSE,192,0,0,0,DI,198,plastic,0,198,533.5,533.5
20180919,8,8,1,1,309,323,292,-0.045307443,DI,TRUE,J050_B1,right side had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,4,FALSE,376,0,0,0,DI,380,plastic,0,380,705,704
20180919,3,3,0,0,291,304,NA,-0.04467354,DI,TRUE,J051_B1,"upper left had the most larvae, they were more faint in color than other filters have been, maybe they didn't get enought neutral red dye?",30,1,20X,NA,Camila,Camila,NA,NA,NA,0,FALSE,404,0,0,0,DI,404,plastic,0,404,704.5,704.5
20190322,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J051_B2,NA,30,1,20X,0.027027027,NA,Ffion,NA,FALSE,FALSE,4,NA,144,NA,NA,NA,NA,148,glass,NA,NA,NA,NA
20180919,4,4,0,0,448,470,NA,-0.049107143,DI,TRUE,J052_B1,right side had the most larvae,33,1,20X,NA,Camila,Camila,"3 ""facing away"" larvae photographed; many ""facing away"" larvae in subsample",NA,NA,4,FALSE,102,0,0,0,DI,106,plastic,0,106,569,569
20180919,4,4,0,0,272,274,NA,-0.007352941,DI,TRUE,J053_B1,upper left had the most larvae,32,1,20X,NA,Camila,Camila,2 abnormal larvae photographed,NA,NA,2,FALSE,449,0,0,1,DI,452,plastic,0,452,729,729
20190325,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,J053_B2,NA,11,1,20X,0.818181818,NA,Ffion,NA,TRUE,TRUE,9,NA,2,NA,NA,NA,NA,11,glass,NA,NA,NA,NA
20180919,3,3,0,0,191,194,206,-0.015706806,DI,TRUE,J054_B1,upper right had the most larvae,30,1,20X,NA,Camila,Camila,"many ""facing away"" larvae in subsample",NA,NA,5,FALSE,493,0,0,0,DI,498,plastic,0,498,693.5,693.5
20180919,1,1,0,0,396,380,NA,0.04040404,DI,TRUE,J055_B1,upper left had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,3,FALSE,253,0,0,0,DI,256,plastic,0,256,645,645
20190826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J055_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180920,2,2,0,0,384,394,NA,-0.026041667,DI,TRUE,J056_B1,Lower half had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,7,FALSE,874,0,0,0,DI,881,plastic,0,881,1272,1272
20190826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J056_B2,NA,23,1,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA
20180924,3,3,0,0,272,268,NA,0.014705882,DI,TRUE,J057_B1,"lower right had the most larvae, storage falcon tube used to test tubidity meter",30,1,20X,NA,Camila,Camila,NA,NA,NA,10,FALSE,96,0,0,0,DI,106,plastic,0,106,379,379
20180924,0,0,0,0,141,139,152,0.014184397,DI,TRUE,J058_B1,upper right had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,5,FALSE,373,0,0,0,DI,378,plastic,0,378,518,518
20180924,1,1,0,0,267,260,NA,0.026217228,DI,TRUE,J059_B1,lower left had the most larvae,30,2,20X,NA,Camila,Camila,NA,NA,NA,3,FALSE,79,0,0,0,DI,82,plastic,0,82,346.5,346.5
20190826,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,J059_B2,NA,2,2,20X,NA,NA,Ffion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
20180924,5,6,0,0,348,355,327,-0.020114943,DI,TRUE,J060_B1,right side had the most larvae,30,1,20X,NA,Camila,Camila,NA,NA,NA,10,FALSE,96,0,0,0,DI,106,plastic,0,106,463,463
20190826,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,J060_B2,NA,30,1,20X,NA,NA,Ffion,sample used for pH tracking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,0,NA,NA
