BarcodeJar,BarcodeJarNotes,CrossID,JarID,JarSeatable,JarTrt,Larvae
J044,,EF05_EM06_B1_QG,J044_B1,2,Exposed,T
J045,,CF03_CM04_B1_QG,J045_B1,2,Control,T
J046,,CF03_CM04_B1_QG,J046_B1,2,Exposed,T
J047,,NA,J047_B1,2,Control,NA
J048,,NA,J048_B1,2,Control,NA
J049,,CF05_CM05_B1_QG,J049_B1,2,Exposed,T
J050,,CF05_CM05_B1_QG,J050_B1,2,Control,T
J051,,CF04_CM01_B1_QG,J051_B1,2,Control,T
J052,,EF02_EM03_B1_QG,J052_B1,2,Exposed,T
J053,,EF02_EM03_B1_QG,J053_B1,2,Control,T
J054,,EF07_EM01_B1_QG,J054_B1,2,Exposed,T
J055,,EF07_EM01_B1_QG,J055_B1,2,Control,T
J056,,CF06_CM01_B1_QG,J056_B1,2,Control,T
J057,,EF02_EM02_B1_QG,J057_B1,2,Exposed,T
J058,,EF02_EM02_B1_QG,J058_B1,2,Control,T
J059,,EF06_EM01_B1_QG,J059_B1,2,Control,T
J060,,EF08_EM03_B1_QG,J060_B1,2,Exposed,T
J061,,EF08_EM03_B1_QG,J061_B1,2,Control,T
J062,,EF04_EM06_B1_QG,J062_B1,2,Exposed,T
J063,,EF04_EM06_B1_QG,J063_B1,2,Control,T
J064,,EF05_EM05_B1_QG,J064_B1,2,Control,T
J065,,EF05_EM05_B1_QG,J065_B1,2,Exposed,T
J066,,CF05_CM02_B1_QG,J066_B1,2,Exposed,T
J067,,CF06_CM03_B1_QG,J067_B1,2,Control,T
J068,,CF06_CM03_B1_QG,J068_B1,2,Exposed,T
J069,,EF08_EM04_B1_QG,J069_B1,2,Control,T
J070,,EF08_EM04_B1_QG,J070_B1,2,Exposed,T
J071,,EF06_EM02_B1_QG,J071_B1,2,Control,T
J072,,EF06_EM02_B1_QG,J072_B1,2,Exposed,T
J073,,CF06_CM02_B1_QG,J073_B1,2,Exposed,T
J074,,CF06_CM02_B1_QG,J074_B1,2,Control,T
J075,,NA,J075_B1,2,Exposed,NA
J076,,CF04_CM04_B1_QG,J076_B1,2,Exposed,T
J077,,CF04_CM04_B1_QG,J077_B1,2,Control,T
J078,,CF04_CM01_B1_QG,J078_B1,2,Exposed,T
J079,,CF08_CM03_B1_QG,J079_B1,2,Exposed,T
J080,,CF08_CM03_B1_QG,J080_B1,2,Control,T
J081,,EF03_EM04_B1_QG,J081_B1,2,Exposed,T
J082,,EF03_EM04_B1_QG,J082_B1,2,Control,T
J083,,CF02_CM02_B1_QG,J083_B1,2,Exposed,T
J084,,CF02_CM02_B1_QG,J084_B1,2,Control,T
J085,,CF03_CM05_B1_QG,J085_B1,2,Exposed,T
J086,,CF03_CM05_B1_QG,J086_B1,2,Control,T
J087,,CF02_CM04_B1_QG,J087_B1,2,Exposed,T
J088,,CF02_CM04_B1_QG,J088_B1,2,Control,T
J089,,EF07_EM03_B1_QG,J089_B1,2,Control,T
J090,,EF07_EM03_B1_QG,J090_B1,2,Exposed,T
J091,,EF03_EM03_B1_QG,J091_B1,2,Control,T
J092,,CF07_CM04_B1_QG,J092_B1,2,Control,T
J093,,CF07_CM04_B1_QG,J093_B1,2,Exposed,T
J094,,CF05_CM02_B1_QG,J094_B1,2,Control,T
J095,,CF03_CM03_B1_QG,J095_B1,2,Control,T
J096,,CF03_CM03_B1_QG,J096_B1,2,Exposed,T
J097,,CF05_CM01_B1_QG,J097_B1,4,Exposed,T
J098,,CF08_CM03_B1_QG,J098_B1,4,Exposed,T
J099,,CF07_CM03_B1_QG,J099_B1,4,Control,T
J100,,CF04_CM01_B1_QG,J100_B1,4,Exposed,T
J101,,EF06_EM02_B1_QG,J101_B1,4,Control,T
J102,,EF06_EM02_B1_QG,J102_B1,4,Exposed,T
J103,,NA,J103_B1,4,Exposed,NA
J104,,EF07_EM03_B1_QG,J104_B1,4,Control,T
J105,,CF07_CM03_B1_QG,J105_B1,4,Exposed,T
J106,,EF07_EM03_B1_QG,J106_B1,4,Exposed,T
J107,,CF02_CM04_B1_QG,J107_B1,4,Control,T
J108,,CF02_CM04_B1_QG,J108_B1,4,Exposed,T
J109,,CF03_CM05_B1_QG,J109_B1,4,Control,T
J110,,CF03_CM05_B1_QG,J110_B1,4,Exposed,T
J111,,CF04_CM05_B1_QG,J111_B1,4,Control,T
J112,,CF04_CM05_B1_QG,J112_B1,4,Exposed,T
J113,,CF08_CM03_B1_QG,J113_B1,4,Control,T
J114,,CF08_CM05_B1_QG,J114_B1,4,Exposed,T
J115,,CF08_CM05_B1_QG,J115_B1,4,Control,T
J116,,CF06_CM01_B1_QG,J116_B1,4,Exposed,T
J117,,CF06_CM03_B1_QG,J117_B1,4,Control,T
J118,,CF06_CM03_B1_QG,J118_B1,4,Exposed,T
J119,,EF05_EM05_B1_QG,J119_B1,4,Control,T
J120,,EF05_EM05_B1_QG,J120_B1,4,Exposed,T
J121,,CF02_CM02_B1_QG,J121_B1,4,Control,T
J122,,CF02_CM02_B1_QG,J122_B1,4,Exposed,T
J123,,CF07_CM04_B1_QG,J123_B1,4,Control,T
J124,,CF07_CM04_B1_QG,J124_B1,4,Exposed,T
J125,,EF02_EM02_B1_QG,J125_B1,4,Control,T
J126,,EF02_EM02_B1_QG,J126_B1,4,Exposed,T
J127,,CF05_CM05_B1_QG,J127_B1,4,Exposed,T
J128,,EF08_EM04_B1_QG,J128_B1,4,Exposed,T
J129,,EF08_EM04_B1_QG,J129_B1,4,Control,T
J130,,CF06_CM01_B1_QG,J130_B1,4,Control,T
J131,,EF04_EM06_B1_QG,J131_B1,4,Control,T
J132,,EF04_EM06_B1_QG,J132_B1,4,Exposed,T
J133,,EF07_EM02_B1_QG,J133_B1,4,Control,T
J134,,CF03_CM04_B1_QG,J134_B1,4,Exposed,T
J135,,CF03_CM04_B1_QG,J135_B1,4,Control,T
J136,,CF07_CM02_B1_QG,J136_B1,4,Exposed,T
J137,,CF07_CM02_B1_QG,J137_B1,4,Control,T
J138,,EF02_EM03_B1_QG,J138_B1,4,Exposed,T
J139,,EF02_EM03_B1_QG,J139_B1,4,Control,T
J140,,CF05_CM02_B1_QG,J140_B1,4,Exposed,T
J141,,EF07_EM01_B1_QG,J141_B1,4,Control,T
J142,,EF07_EM01_B1_QG,J142_B1,4,Exposed,T
J143,,CF04_CM01_B1_QG,J143_B1,4,Control,T
J144,,CF05_CM05_B1_QG,J144_B1,4,Control,T
J145,,EF08_EM02_B1_QG,J145_B1,4,Exposed,T
J146,,EF08_EM02_B1_QG,J146_B1,4,Control,T
J147,,EF07_EM02_B1_QG,J147_B1,4,Exposed,T
J148,,EF05_EM06_B1_QG,J148_B1,4,Exposed,T
J149,,EF05_EM06_B1_QG,J149_B1,4,Control,T
J150,,NA,J150_B1,4,Exposed,NA
J151,,NA,J151_B1,4,Control,NA
J152,,EF06_EM06_B1_QG,J152_B1,4,Exposed,T
J153,,CF05_CM01_B1_QG,J153_B1,4,Control,T
J154,,CF05_CM02_B1_QG,J154_B1,4,Control,T
J155,,CF03_CM03_B1_QG,J155_B1,4,Exposed,T
J156,,CF04_CM04_B1_QG,J156_B1,4,Exposed,T
J157,,CF04_CM04_B1_QG,J157_B1,4,Control,T
J158,,EF03_EM04_B1_QG,J158_B1,4,Exposed,T
J159,,EF03_EM04_B1_QG,J159_B1,4,Control,T
J160,,EF08_EM03_B1_QG,J160_B1,4,Exposed,T
J161,,EF08_EM03_B1_QG,J161_B1,4,Control,T
J162,,EF06_EM01_B1_QG,J162_B1,4,Control,T
J163,,EF06_EM01_B1_QG,J163_B1,4,Exposed,T
J164,,EF05_EM01_B1_QG,J164_B1,4,Control,T
J165,,EF03_EM03_B1_QG,J165_B1,4,Control,T
J166,,EF03_EM03_B1_QG,J166_B1,4,Exposed,T
J167,,CF06_CM02_B1_QG,J167_B1,4,Control,T
J168,,CF06_CM02_B1_QG,J168_B1,4,Exposed,T
J169,,CF08_CM04_B1_QG,J169_B1,4,Control,T
J170,,CF01_CM02_B1_QG,J170_B1,4,Control,T
J171,,CF08_CM04_B1_QG,J171_B1,4,Exposed,T
J172,,EF04_EM05_B1_QG,J172_B1,4,Control,T
J173,,EF06_EM06_B1_QG,J173_B1,4,Control,T
J174,,CF01_CM02_B1_QG,J174_B1,4,Exposed,T
J175,,CF03_CM03_B1_QG,J175_B1,4,Control,T
J176,,EF04_EM05_B1_QG,J176_B1,4,Exposed,T
J177,,CF01_CM03_B1_QG,J177_B1,4,Exposed,T
J178,,EF05_EM01_B1_QG,J178_B1,4,Exposed,T
J179,,CF02_CM03_B1_QG,J179_B1,4,Exposed,T
J180,,CF02_CM03_B1_QG,J180_B1,4,Control,T
J181,,EF04_EM04_B1_QG,J181_B1,4,Control,T
J182,switched to control- KEL - later note- I think I put this note in the wrong row,EF04_EM04_B1_QG,J182_B1,4,Exposed,T
J183,,EF01_EM01_B1_QG,J183_B1,4,Control,T
J184,,EF01_EM01_B1_QG,J184_B1,4,Exposed,T
J185,,EF03_EM05_B1_QG,J185_B1,4,Exposed,T
J186,,EF03_EM05_B1_QG,J186_B1,4,Control,T
J187,,CF01_CM01_B1_QG,J187_B1,4,Exposed,T
J188,,CF01_CM01_B1_QG,J188_B1,4,Control,T
J189,,NA,J189_B1,4,Control,NA
J190,,EF02_EM04_B1_QG,J190_B1,4,Exposed,T
J191,,CF01_CM03_B1_QG,J191_B1,4,Control,T
J192,,EF02_EM04_B1_QG,J192_B1,4,Control,T
J193,,CF03_CM04_B1_QG,J193_B1,6,Exposed,T
J194,,NA,J194_B1,6,Exposed,NA
J195,,CF03_CM04_B1_QG,J195_B1,6,Control,T
J196,,NA,J196_B1,6,Control,NA
J197,,EF08_EM02_B1_QG,J197_B1,6,Exposed,T
J198,,EF08_EM02_B1_QG,J198_B1,6,Control,T
J199,,EF07_EM02_B1_QG,J199_B1,6,Control,T
J200,,CF05_CM02_B1_QG,J200_B1,6,Exposed,T
J201,,CF05_CM02_B1_QG,J201_B1,6,Control,T
J202,,CF07_CM04_B1_QG,J202_B1,6,Exposed,T
J203,,CF07_CM04_B1_QG,J203_B1,6,Control,T
J204,,CF03_CM03_B1_QG,J204_B1,6,Exposed,T
J205,,CF03_CM03_B1_QG,J205_B1,6,Control,T
J206,,NA,J206_B1,6,Control,NA
J207,,EF05_EM06_B1_QG,J207_B1,6,Control,T
J208,,EF05_EM06_B1_QG,J208_B1,6,Exposed,T
J209,,CF07_CM02_B1_QG,J209_B1,6,Control,T
J210,,CF05_CM01_B1_QG,J210_B1,6,Exposed,T
J211,,CF05_CM01_B1_QG,J211_B1,6,Control,T
J212,,CF05_CM05_B1_QG,J212_B1,6,Exposed,T
J213,,EF07_EM02_B1_QG,J213_B1,6,Exposed,T
J214,,EF07_EM01_B1_QG,J214_B1,6,Control,T
J215,accidently placed in wrong table,EF07_EM01_B1_QG,J215_B1,6,Exposed,T
J216,accidently placed in wrong table,CF06_CM01_B1_QG,J216_B1,4,Exposed,T
J217,,CF06_CM01_B1_QG,J217_B1,4,Control,T
J218,,CF06_CM03_B1_QG,J218_B1,6,Exposed,T
J219,,CF02_CM02_B1_QG,J219_B1,6,Control,T
J220,,CF02_CM02_B1_QG,J220_B1,6,Exposed,T
J221,,EF05_EM05_B1_QG,J221_B1,6,Control,T
J222,,EF05_EM05_B1_QG,J222_B1,6,Exposed,T
J223,,CF07_CM02_B1_QG,J223_B1,6,Exposed,T
J224,,CF04_CM01_B1_QG,J224_B1,6,Exposed,T
J225,,CF04_CM01_B1_QG,J225_B1,6,Control,T
J226,,EF04_EM06_B1_QG,J226_B1,6,Exposed,T
J227,,EF04_EM06_B1_QG,J227_B1,6,Control,T
J228,,EF02_EM03_B1_QG,J228_B1,6,Exposed,T
J229,,EF02_EM03_B1_QG,J229_B1,6,Control,T
J230,,EF06_EM06_B1_QG,J230_B1,6,Exposed,T
J231,,EF06_EM06_B1_QG,J231_B1,6,Control,T
J232,,CF06_CM03_B1_QG,J232_B1,6,Control,T
J233,,EF03_EM04_B1_QG,J233_B1,6,Exposed,T
J234,,EF03_EM04_B1_QG,J234_B1,6,Control,T
J235,,CF08_CM05_B1_QG,J235_B1,6,Exposed,T
J236,,CF08_CM05_B1_QG,J236_B1,6,Control,T
J237,,EF03_EM03_B1_QG,J237_B1,6,Exposed,T
J238,,CF08_CM03_B1_QG,J238_B1,6,Control,T
J239,,CF08_CM03_B1_QG,J239_B1,6,Exposed,T
J240,,EF08_EM04_B1_QG,J240_B1,6,Control,T
J241,,EF08_EM04_B1_QG,J241_B1,6,Exposed,T
J242,,NA,J242_B1,6,Control,NA
J243,,CF04_CM04_B1_QG,J243_B1,6,Exposed,T
J244,,EF05_EM01_B1_QG,J244_B1,6,Exposed,T
J245,,EF02_EM02_B1_QG,J245_B1,6,Control,T
J246,,EF02_EM02_B1_QG,J246_B1,6,Exposed,T
J247,,EF06_EM02_B1_QG,J247_B1,6,Exposed,T
J248,,EF06_EM02_B1_QG,J248_B1,6,Control,T
J249,,CF07_CM03_B1_QG,J249_B1,6,Exposed,T
J250,,CF06_CM02_B1_QG,J250_B1,6,Control,T
J251,,CF06_CM02_B1_QG,J251_B1,6,Exposed,T
J252,,EF06_EM01_B1_QG,J252_B1,6,Control,T
J253,,EF06_EM01_B1_QG,J253_B1,6,Exposed,T
J254,,EF08_EM03_B1_QG,J254_B1,6,Control,T
J255,,EF08_EM03_B1_QG,J255_B1,6,Exposed,T
J256,,CF05_CM05_B1_QG,J256_B1,6,Control,T
J257,,CF02_CM03_B1_QG,J257_B1,6,Exposed,T
J258,,EF05_EM01_B1_QG,J258_B1,6,Control,T
J259,,CF04_CM04_B1_QG,J259_B1,6,Control,T
J260,,CF02_CM03_B1_QG,J260_B1,6,Control,T
J261,,CF02_CM04_B1_QG,J261_B1,6,Control,T
J262,,CF02_CM04_B1_QG,J262_B1,6,Exposed,T
J263,,CF01_CM03_B1_QG,J263_B1,6,Exposed,T
J264,,CF07_CM03_B1_QG,J264_B1,6,Control,T
J265,,EF07_EM03_B1_QG,J265_B1,6,Exposed,T
J266,,EF07_EM03_B1_QG,J266_B1,6,Control,T
J267,,CF03_CM05_B1_QG,J267_B1,6,Exposed,T
J268,,CF03_CM05_B1_QG,J268_B1,6,Control,T
J269,,EF04_EM05_B1_QG,J269_B1,6,Exposed,T
J270,,EF04_EM05_B1_QG,J270_B1,6,Control,T
J271,,CF08_CM04_B1_QG,J271_B1,6,Exposed,T
J272,,CF08_CM04_B1_QG,J272_B1,6,Control,T
J273,,CF01_CM02_B1_QG,J273_B1,6,Exposed,T
J274,,CF01_CM02_B1_QG,J274_B1,6,Control,T
J275,,CF04_CM05_B1_QG,J275_B1,6,Exposed,T
J276,,CF04_CM05_B1_QG,J276_B1,6,Control,T
J277,KEL switched to contorl,CF01_CM03_B1_QG,J277_B1,6,Control,T
J278,,EF04_EM04_B1_QG,J278_B1,6,Exposed,T
J279,,EF04_EM04_B1_QG,J279_B1,6,Control,T
J280,,EF03_EM03_B1_QG,J280_B1,6,Control,T
J281,,EF03_EM05_B1_QG,J281_B1,6,Exposed,T
J282,,EF03_EM05_B1_QG,J282_B1,6,Control,T
J283,,CF01_CM01_B1_QG,J283_B1,6,Exposed,T
J284,,CF01_CM01_B1_QG,J284_B1,6,Control,T
J285,,EF02_EM04_B1_QG,J285_B1,6,Exposed,T
J286,,EF02_EM04_B1_QG,J286_B1,6,Control,T
J287,,EF01_EM01_B1_QG,J287_B1,6,Exposed,T
J288,"was originally mislabeled as exposed, see July 10 entry in logfile",EF01_EM01_B1_QG,J288_B1,6,Control,T
J289,control_noLarvae-5mL,NA,J289_B1,NA,Control,F
J290,control_noLarvae-5mL,NA,J290_B1,NA,Exposed,F
J291,control_noLarvae-5mL,NA,J291_B1,NA,Exposed,F
J292,control_noLarvae-5mL,NA,J292_B1,NA,Control,F
J293,Control_noLarvae-1.5mL,NA,J293_B1,NA,Control,F
J294,Control_noLarvae-1.5mL,NA,J294_B1,NA,Exposed,F
J295,Control_noLarvae-0mL,NA,J295_B1,NA,Exposed,F
J296,Control_noLarvae-1.5mL,NA,J296_B1,NA,Control,F
J297,Control_noLarvae-0mL,NA,J297_B1,NA,Exposed,F
J298,Control_noLarvae-1.5mL,NA,J298_B1,NA,Exposed,F
J299,Control_noLarvae-0mL,NA,J299_B1,NA,Control,F
J300,Control_noLarvae-0mL,NA,J300_B1,NA,Control,F
J001,,EF02_EM02_B2_QG,J001_B2,2,Control,T
J002,,CF07_CM07_B2_QG,J002_B2,2,Exposed,T
J003,,EF04_EM04_B2_QG,J003_B2,2,Exposed,T
J004,,CF07_CM01_B2_QG,J004_B2,2,Control,T
J005,,CF07_CM01_B2_QG,J005_B2,2,Exposed,T
J006,,CF02_CM02_B2_QG,J006_B2,2,Control,T
J007,,EF01_EM03_B2_QG,J007_B2,2,Exposed,T
J008,,EF01_EM03_B2_QG,J008_B2,2,Control,T
J009,,EF06_EM01_B2_QG,J009_B2,2,Control,T
J010,,EF06_EM01_B2_QG,J010_B2,2,Exposed,T
J011,,CF01_CM02_B2_QG,J011_B2,2,Control,T
J012,,EF06_EM02_B2_QG,J012_B2,2,Exposed,T
J013,,EF02_EM02_B2_QG,J013_B2,2,Exposed,T
J014,,CF07_CM07_B2_QG,J014_B2,2,Control,T
J015,,CF04_CM04_B2_Meth,J015_B2,2,Control,T
J016,,EF07_EM03_B2_QG,J016_B2,2,Exposed,T
J017,,EF07_EM03_B2_QG,J017_B2,2,Control,T
J018,,CF02_CM02_B2_QG,J018_B2,2,Exposed,T
J019,,EF03_EM03_B2_QG,J019_B2,2,Exposed,T
J020,,EF03_EM03_B2_QG,J020_B2,2,Control,T
J021,,EF02_EM04_B2_QG,J021_B2,2,Exposed,T
J022,,EF02_EM04_B2_QG,J022_B2,2,Control,T
J023,,CF01_CM02_B2_QG,J023_B2,2,Exposed,T
J024,,EF06_EM02_B2_QG,J024_B2,2,Control,T
J025,,NA,J025_B2,2,Control,F
J026,,EF03_EM05_B2_QG,J026_B2,2,Exposed,T
J027,,CF04_CM04_B2_Meth,J027_B2,2,Exposed,T
J028,,EF04_EM04_B2_QG,J028_B2,2,Control,T
J029,,EF08_EM04_B2_QG,J029_B2,2,Exposed,T
J030,,CF01_CM03_B2_QG,J030_B2,2,Control,T
J031,,EF04_EM01_B2_QG,J031_B2,2,Exposed,T
J032,,EF02_EM03_B2_QG,J032_B2,2,Exposed,T
J033,,EF05_EM01_B2_QG,J033_B2,2,Control,T
J034,,EF08_EM03_B2_QG,J034_B2,2,Exposed,T
J035,,EF04_EM05_B2_QG,J035_B2,2,Control,T
J036,,EF03_EM04_B2_QG,J036_B2,2,Control,T
J037,,NA,J037_B2,2,Exposed,F
J038,,NA,J038_B2,2,Control,F
J039,,EF03_EM05_B2_QG,J039_B2,2,Control,T
J040,,CF01_CM03_B2_QG,J040_B2,2,Exposed,T
J041,,EF07_EM02_B2_QG,J041_B2,2,Control,T
J042,,EF08_EM05_B2_QG,J042_B2,2,Exposed,T
J043,,EF08_EM04_B2_QG,J043_B2,2,Control,T
J044,,EF08_EM05_B2_QG,J044_B2,2,Control,T
J045,,EF05_EM01_B2_QG,J045_B2,2,Exposed,T
J046,,EF08_EM03_B2_QG,J046_B2,2,Control,T
J047,,EF04_EM05_B2_QG,J047_B2,2,Exposed,T
J048,,EF03_EM04_B2_QG,J048_B2,2,Exposed,T
J049,,NA,J049_B2,2,Control,F
J050,,NA,J050_B2,2,Exposed,F
J051,,CF02_CM04_B2_QG,J051_B2,2,Exposed,T
J052,,CF07_CM08_B2_QG,J052_B2,2,Control,T
J053,,CF02_CM04_B2_QG,J053_B2,2,Control,T
J054,,CF05_CM07_B2_QG,J054_B2,2,Control,T
J055,,CF05_CM07_B2_QG,J055_B2,2,Exposed,T
J056,,EF07_EM02_B2_QG,J056_B2,2,Exposed,T
J057,,EF05_EM05_B2_QG,J057_B2,2,Control,T
J058,,EF02_EM03_B2_QG,J058_B2,2,Control,T
J059,,CF03_CM03_B2_QG,J059_B2,2,Exposed,T
J060,,CF05_CM05_B2_QG,J060_B2,2,Exposed,T
J061,,NA,J061_B2,2,Exposed,F
J062,,NA,J062_B2,2,Control,F
J063,,NA,J063_B2,2,Exposed,F
J064,,NA,J064_B2,2,Control,F
J065,,CF07_CM08_B2_QG,J065_B2,2,Exposed,T
J066,,EF01_EM02_B2_QG,J066_B2,2,Control,T
J067,,EF01_EM02_B2_QG,J067_B2,2,Exposed,T
J068,,EF06_EM03_B2_QG,J068_B2,2,Exposed,T
J069,,EF05_EM05_B2_QG,J069_B2,2,Exposed,T
J070,,EF04_EM01_B2_QG,J070_B2,2,Control,T
J071,,CF03_CM03_B2_QG,J071_B2,2,Control,T
J072,,CF05_CM05_B2_QG,J072_B2,2,Control,T
J073,,NA,J073_B2,2,Control,F
J074,,NA,J074_B2,2,Exposed,F
J075,,NA,J075_B2,2,Control,F
J076,,NA,J076_B2,2,Exposed,F
J077,,NA,J077_B2,2,Exposed,F
J078,,NA,J078_B2,2,Control,F
J079,,NA,J079_B2,2,Exposed,F
J080,,EF06_EM03_B2_QG,J080_B2,2,Control,T
J081,,EF01_EM01_B2_QG,J081_B2,2,Exposed,T
J082,,EF01_EM01_B2_QG,J082_B2,2,Control,T
J083,,EF05_EM02_B2_QG,J083_B2,2,Control,T
J084,,CF01_CM01_B2_QG,J084_B2,2,Exposed,T
J085,,NA,J085_B2,2,Exposed,F
J086,,NA,J086_B2,2,Exposed,F
J087,,NA,J087_B2,2,Control,F
J088,,NA,J088_B2,2,Exposed,F
J089,,NA,J089_B2,2,Control,F
J090,,NA,J090_B2,2,Control,F
J091,,EF07_EM04_B2_QG,J091_B2,2,Control,T
J092,,EF07_EM04_B2_QG,J092_B2,2,Exposed,T
J093,,CF05_CM06_B2_QG,J093_B2,2,Exposed,T
J094,,CF05_CM06_B2_QG,J094_B2,2,Control,T
J095,,EF05_EM02_B2_QG,J095_B2,2,Exposed,T
J096,,CF01_CM01_B2_QG,J096_B2,2,Control,T
J097,,CF04_CM04_B2_Meth,J097_B2,4,Exposed,T
J098,,CF04_CM04_B2_Meth,J098_B2,4,Control,T
J099,,EF08_EM04_B2_QG,J099_B2,4,Exposed,T
J100,,EF08_EM04_B2_QG,J100_B2,4,Control,T
J101,,CF07_CM01_B2_QG,J101_B2,4,Exposed,T
J102,,CF07_CM01_B2_QG,J102_B2,4,Control,T
J103,,CF02_CM02_B2_QG,J103_B2,4,Control,T
J104,,EF07_EM03_B2_QG,J104_B2,4,Exposed,T
J105,,EF08_EM03_B2_QG,J105_B2,4,Control,T
J106,,EF08_EM03_B2_QG,J106_B2,4,Exposed,T
J107,,CF01_CM01_B2_QG,J107_B2,4,Control,T
J108,,EF06_EM02_B2_QG,J108_B2,4,Exposed,T
J109,,NA,J109_B2,4,Control,F
J110,,NA,J110_B2,4,Exposed,F
J111,,EF04_EM01_B2_QG,J111_B2,4,Control,T
J112,,EF08_EM05_B2_QG,J112_B2,4,Exposed,T
J113,,EF08_EM05_B2_QG,J113_B2,4,Control,T
J114,,EF07_EM03_B2_QG,J114_B2,4,Control,T
J115,,CF02_CM02_B2_QG,J115_B2,4,Exposed,T
J116,,EF03_EM03_B2_QG,J116_B2,4,Control,T
J117,,EF03_EM03_B2_QG,J117_B2,4,Exposed,T
J118,,EF05_EM01_B2_QG,J118_B2,4,Exposed,T
J119,,EF04_EM05_B2_QG,J119_B2,4,Exposed,T
J120,,EF06_EM02_B2_QG,J120_B2,4,Control,T
J121,,NA,J121_B2,4,Control,F
J122,,NA,J122_B2,4,Control,F
J123,,EF02_EM02_B2_QG,J123_B2,4,Exposed,T
J124,,CF01_CM03_B2_QG,J124_B2,4,Control,T
J125,,CF01_CM03_B2_QG,J125_B2,4,Exposed,T
J126,,EF07_EM04_B2_QG,J126_B2,4,Exposed,T
J127,,EF07_EM02_B2_QG,J127_B2,4,Control,T
J128,,EF07_EM02_B2_QG,J128_B2,4,Exposed,T
J129,,EF05_EM01_B2_QG,J129_B2,4,Control,T
J130,,EF05_EM02_B2_QG,J130_B2,4,Control,T
J131,,EF05_EM02_B2_QG,J131_B2,4,Exposed,T
J132,,EF03_EM04_B2_QG,J132_B2,4,Exposed,T
J133,,NA,J133_B2,4,Exposed,F
J134,,NA,J134_B2,4,Control,F
J135,,EF02_EM02_B2_QG,J135_B2,4,Control,T
J136,,NA,J136_B2,4,Exposed,F
J137,,EF07_EM04_B2_QG,J137_B2,4,Control,T
J138,,NA,J138_B2,4,Exposed,F
J139,,EF01_EM02_B2_QG,J139_B2,4,Exposed,T
J140,,EF01_EM01_B2_QG,J140_B2,4,Control,T
J141,,EF01_EM01_B2_QG,J141_B2,4,Exposed,T
J142,,EF05_EM05_B2_QG,J142_B2,4,Exposed,T
J143,,CF01_CM02_B2_QG,J143_B2,4,Control,T
J144,,EF03_EM04_B2_QG,J144_B2,4,Control,T
J145,,NA,J145_B2,4,Control,F
J146,,NA,J146_B2,4,Control,F
